"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"P001","Internet i comunicacions","WiFi BCN","429362.526","4581519.654","429270.604","4581318.727","2.154123","41.380284","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer Diputació","02","09","Eixample","la Nova Esquerra de l'Eixample","C Calàbria, 117",""
"P001","Internet i comunicacions","WiFi BCN","430693.147","4587862.831","430601.215","4587661.844","2.169308","41.43753","Espai Jove Guineueta *Masia de la Guineueta","08","48","Nou Barris","la Guineueta","Pl Ca n'Ensenya, 4","933594000"
"P001","Internet i comunicacions","WiFi BCN","430741.558","4581199.973","430649.623","4580999.048","2.17065","41.377525","Centre d'Informació i Assessorament per a Joves-Sala d'Estudi Raval - Sant Oleguer","01","01","Ciutat Vella","el Raval","C Sant Oleguer, 6*8",""
"P001","Internet i comunicacions","WiFi BCN","430436.598","4580793.816","430344.666","4580592.895","2.167051","41.37384","Centre de Serveis Socials Poble-sec","03","11","Sants-Montjuïc","el Poble-sec","C Roser, 15","936197311"
"P001","Internet i comunicacions","WiFi BCN","428801.945","4583853.388","428710.029","4583652.439","2.147145","41.401253","Punt de connexió Barcelona WiFi a la Plaça Molina","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Pl Molina, 5",""
"P001","Internet i comunicacions","WiFi BCN","433984.423","4583518.383","433892.459","4583317.436","2.209174","41.398679","Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb la Ronda Litoral","10","68","Sant Martí","el Poblenou","Pg Calvell, 57",""
"P001","Internet i comunicacions","WiFi BCN","431074.635","4582282.195","430982.697","4582081.26","2.17451","41.3873","Punt de connexió Barcelona WiFi a la cruïlla del carrer Jonqueres amb Ramon Mas","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Via Laietana, 54",""
"P001","Internet i comunicacions","WiFi BCN","427158.949","4582042.733","427067.047","4581841.801","2.12771","41.384798","Punt de connexió Barcelona WiFi a la cruïlla de la Gran Via de Carles III amb Masferrer","04","19","Les Corts","les Corts","G.V. Carles III, 74",""
"P001","Internet i comunicacions","WiFi BCN","430914.984","4584538.186","430823.049","4584337.23","2.172343","41.407606","Punt de connexió Barcelona WiFi a la cruïlla del carrer Lepant amb Indústria","02","06","Eixample","la Sagrada Família","C Lepant, 337",""
"P001","Internet i comunicacions","WiFi BCN","432717.077","4584436.804","432625.125","4584235.849","2.193913","41.406845","Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb Perú","10","71","Sant Martí","Provençals del Poblenou","C Perú, 46",""
"P001","Internet i comunicacions","WiFi BCN","433284.62","4583145.812","433192.662","4582944.868","2.200845","41.395265","Casal de Barri Vila Olímpica-Can Gili Nou","10","68","Sant Martí","el Poblenou","C Taulat, 3*5","932219522"
"P001","Internet i comunicacions","WiFi BCN","429996.729","4583348.615","429904.802","4583147.67","2.161496","41.396812","Punt de connexió Barcelona WiFi a la cruïlla del carrer Pau Claris amb l'Avinguda Diagonal","02","07","Eixample","la Dreta de l'Eixample","Av Diagonal, 371",""
"P001","Internet i comunicacions","WiFi BCN","428100.642","4583359.668","428008.732","4583158.724","2.138815","41.396744","Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb carrer Reina Victoria","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Vallmajor, 8",""
"P001","Internet i comunicacions","WiFi BCN","428587.625","4581358.188","428495.71","4581157.262","2.144876","41.378761","Punt de connexió Barcelona WiFi a la cruïlla del carrer Tarragona amb València","03","15","Sants-Montjuïc","Hostafrancs","C Elisi, 36",""
"P001","Internet i comunicacions","WiFi BCN","427979.705","4583453.561","427887.796","4583252.616","2.137357","41.397579","Punt de connexió Barcelona WiFi a la cruïlla del carrer Modolell amb Via Augusta","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","C Modolell, 17",""
"P001","Internet i comunicacions","WiFi BCN","429895.748","4587200.236","429803.823","4586999.256","2.159841","41.431493","Punt 7 - Punt InfoJOVE Horta-Guinardó","07","43","Horta-Guinardó","Horta","C Horta, 71","934202595"
"P001","Internet i comunicacions","WiFi BCN","429895.748","4587200.236","429803.823","4586999.256","2.159841","41.431493","Punt 7 - Punt InfoJOVE Horta-Guinardó-Sala d'Estudi Horta","07","43","Horta-Guinardó","Horta","C Horta, 71",""
"P001","Internet i comunicacions","WiFi BCN","429041.109","4585781.059","428949.191","4585580.092","2.14978","41.418636","Centre Cívic El Coll - La Bruguera-Espai Jove del Coll","06","29","Gràcia","el Coll","Duran i Borrell, 24","932562874"
"P001","Internet i comunicacions","WiFi BCN","428103.481","4583486.169","428011.571","4583285.224","2.138834","41.397884","Punt de connexió Barcelona WiFi a la cruïlla del carrer Vallmajor amb Via Augusta","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Via Augusta, 205",""
"P001","Internet i comunicacions","WiFi BCN","431409.876","4582920.265","431317.936","4582719.324","2.178447","41.393076","Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el carrer Ausiàs Marc","02","05","Eixample","el Fort Pienc","Pg Sant Joan, 30",""
"P001","Internet i comunicacions","WiFi BCN","433243.518","4583991.438","433151.561","4583790.487","2.20026","41.402878","Punt de connexió Barcelona WiFi a la cruïlla del carrer Marià Aguiló amb Pallars","10","68","Sant Martí","el Poblenou","C Pallars, 236",""
"P001","Internet i comunicacions","WiFi BCN","429024.644","4584421.478","428932.726","4584220.524","2.149743","41.40639","Punt de connexió Barcelona WiFi a la cruïlla de la plaça Lesseps amb el carrer Gran de Gràcia","05","27","Sarrià-Sant Gervasi","el Putxet i el Farró","Pl Lesseps, 30",""
"P001","Internet i comunicacions","WiFi BCN","430440.515","4581835.505","430348.583","4581634.574","2.166978","41.383223","Museu d'Art Contemporani de Barcelona","01","01","Ciutat Vella","el Raval","Pl Àngels, 1","934813368"
"P001","Internet i comunicacions","WiFi BCN","429172.438","4581714.138","429080.518","4581513.209","2.151828","41.382019","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer Aragó","02","09","Eixample","la Nova Esquerra de l'Eixample","C Calàbria, 161",""
